"","gene","stage","counts_sum"
"110046","CCNB1IP1","21Day",26
"110047","CCNB1IP1","22Month",232
"110048","CCNB1IP1","24hpf",1
"110049","CCNB1IP1","3Month",2686
"110050","CCNB1IP1","72hpf",4
"110051","CDHR2","21Day",139
"110052","CDHR2","22Month",3600
"110053","CDHR2","24hpf",3
"110054","CDHR2","3Month",9280
"110055","CDHR2","72hpf",30
"110056","CHST13","21Day",30
"110057","CHST13","22Month",234
"110058","CHST13","24hpf",8
"110059","CHST13","3Month",218
"110060","CHST13","72hpf",25
"110061","CLDN22","21Day",4
"110062","CLDN22","22Month",0
"110063","CLDN22","24hpf",0
"110064","CLDN22","3Month",0
"110065","CLDN22","72hpf",9
"110066","CR318658.1","21Day",0
"110067","CR318658.1","22Month",1
"110068","CR318658.1","24hpf",0
"110069","CR318658.1","3Month",2
"110070","CR318658.1","72hpf",0
"110071","CR339041.1","21Day",26
"110072","CR339041.1","22Month",759
"110073","CR339041.1","24hpf",0
"110074","CR339041.1","3Month",5
"110075","CR339041.1","72hpf",12
"110076","CR339059.1","21Day",7
"110077","CR339059.1","22Month",12
"110078","CR339059.1","24hpf",1
"110079","CR339059.1","3Month",17
"110080","CR339059.1","72hpf",17
"110081","CR352226.6","21Day",19
"110082","CR352226.6","22Month",17
"110083","CR352226.6","24hpf",1
"110084","CR352226.6","3Month",52
"110085","CR352226.6","72hpf",5
"110086","CR352243.2","21Day",3
"110087","CR352243.2","22Month",0
"110088","CR352243.2","24hpf",0
"110089","CR352243.2","3Month",0
"110090","CR352243.2","72hpf",2
"110091","CR356242.1","21Day",0
"110092","CR356242.1","22Month",11
"110093","CR356242.1","24hpf",0
"110094","CR356242.1","3Month",0
"110095","CR356242.1","72hpf",1
"110096","CR376748.1","21Day",0
"110097","CR376748.1","22Month",3
"110098","CR376748.1","24hpf",1
"110099","CR376748.1","3Month",0
"110100","CR376748.1","72hpf",0
"110101","CR376779.1","21Day",36
"110102","CR376779.1","22Month",8
"110103","CR376779.1","24hpf",5
"110104","CR376779.1","3Month",30
"110105","CR376779.1","72hpf",58
"110106","CR382327.2","21Day",11
"110107","CR382327.2","22Month",0
"110108","CR382327.2","24hpf",1
"110109","CR382327.2","3Month",0
"110110","CR382327.2","72hpf",16
"110111","CR382370.1","21Day",0
"110112","CR382370.1","22Month",91
"110113","CR382370.1","24hpf",0
"110114","CR382370.1","3Month",25
"110115","CR382370.1","72hpf",1
"110116","CR384099.1","21Day",0
"110117","CR384099.1","22Month",0
"110118","CR384099.1","24hpf",0
"110119","CR384099.1","3Month",0
"110120","CR384099.1","72hpf",3
"110121","CR385040.2","21Day",2
"110122","CR385040.2","22Month",9
"110123","CR385040.2","24hpf",1
"110124","CR385040.2","3Month",13
"110125","CR385040.2","72hpf",1
"110126","CR387935.1","21Day",2
"110127","CR387935.1","22Month",6
"110128","CR387935.1","24hpf",0
"110129","CR387935.1","3Month",3
"110130","CR387935.1","72hpf",3
"110131","CR388079.1","21Day",5
"110132","CR388079.1","22Month",0
"110133","CR388079.1","24hpf",1
"110134","CR388079.1","3Month",6
"110135","CR388079.1","72hpf",6
"110136","CR388156.1","21Day",6
"110137","CR388156.1","22Month",94
"110138","CR388156.1","24hpf",1
"110139","CR388156.1","3Month",2036
"110140","CR388156.1","72hpf",2
"110141","CR388178.2","21Day",0
"110142","CR388178.2","22Month",0
"110143","CR388178.2","24hpf",1
"110144","CR388178.2","3Month",0
"110145","CR388178.2","72hpf",5
"110146","CR388231.2","21Day",32
"110147","CR388231.2","22Month",203
"110148","CR388231.2","24hpf",6
"110149","CR388231.2","3Month",193
"110150","CR388231.2","72hpf",10
"110151","CR388413.2","21Day",0
"110152","CR388413.2","22Month",0
"110153","CR388413.2","24hpf",0
"110154","CR388413.2","3Month",0
"110155","CR388413.2","72hpf",0
"110156","CR391921.1","21Day",2
"110157","CR391921.1","22Month",2
"110158","CR391921.1","24hpf",1
"110159","CR391921.1","3Month",0
"110160","CR391921.1","72hpf",4
"110161","CR391930.1","21Day",18
"110162","CR391930.1","22Month",0
"110163","CR391930.1","24hpf",1
"110164","CR391930.1","3Month",0
"110165","CR391930.1","72hpf",15
"110166","CR392036.1","21Day",30
"110167","CR392036.1","22Month",11
"110168","CR392036.1","24hpf",1
"110169","CR392036.1","3Month",51
"110170","CR392036.1","72hpf",12
"110171","CR394546.2","21Day",215
"110172","CR394546.2","22Month",3049
"110173","CR394546.2","24hpf",4
"110174","CR394546.2","3Month",2703
"110175","CR394546.2","72hpf",35
"110176","CR405682.1","21Day",0
"110177","CR405682.1","22Month",13
"110178","CR405682.1","24hpf",3
"110179","CR405682.1","3Month",42
"110180","CR405682.1","72hpf",0
"110181","CR407550.1","21Day",5
"110182","CR407550.1","22Month",3
"110183","CR407550.1","24hpf",0
"110184","CR407550.1","3Month",0
"110185","CR407550.1","72hpf",28
"110186","CR450696.1","21Day",3
"110187","CR450696.1","22Month",0
"110188","CR450696.1","24hpf",6
"110189","CR450696.1","3Month",0
"110190","CR450696.1","72hpf",4
"110191","CR450749.1","21Day",19
"110192","CR450749.1","22Month",0
"110193","CR450749.1","24hpf",0
"110194","CR450749.1","3Month",0
"110195","CR450749.1","72hpf",3
"110196","CR450780.1","21Day",43
"110197","CR450780.1","22Month",2100
"110198","CR450780.1","24hpf",2
"110199","CR450780.1","3Month",2933
"110200","CR450780.1","72hpf",26
"110201","CR450817.1","21Day",7
"110202","CR450817.1","22Month",4
"110203","CR450817.1","24hpf",8
"110204","CR450817.1","3Month",0
"110205","CR450817.1","72hpf",11
"110206","CR450833.2","21Day",14
"110207","CR450833.2","22Month",0
"110208","CR450833.2","24hpf",0
"110209","CR450833.2","3Month",0
"110210","CR450833.2","72hpf",7
"110211","CR450848.1","21Day",4
"110212","CR450848.1","22Month",4
"110213","CR450848.1","24hpf",1
"110214","CR450848.1","3Month",10
"110215","CR450848.1","72hpf",4
"110216","CR456624.1","21Day",8
"110217","CR456624.1","22Month",0
"110218","CR456624.1","24hpf",0
"110219","CR456624.1","3Month",0
"110220","CR456624.1","72hpf",22
"110221","CR524821.1","21Day",0
"110222","CR524821.1","22Month",56
"110223","CR524821.1","24hpf",0
"110224","CR524821.1","3Month",235
"110225","CR524821.1","72hpf",2
"110226","CR550302.2","21Day",5
"110227","CR550302.2","22Month",220
"110228","CR550302.2","24hpf",11
"110229","CR550302.2","3Month",185
"110230","CR550302.2","72hpf",10
"110231","CR550307.1","21Day",6
"110232","CR550307.1","22Month",49
"110233","CR550307.1","24hpf",5
"110234","CR550307.1","3Month",59
"110235","CR550307.1","72hpf",6
"110236","CR589882.1","21Day",1
"110237","CR589882.1","22Month",0
"110238","CR589882.1","24hpf",4
"110239","CR589882.1","3Month",0
"110240","CR589882.1","72hpf",5
"110241","CR626902.1","21Day",37
"110242","CR626902.1","22Month",414
"110243","CR626902.1","24hpf",0
"110244","CR626902.1","3Month",870
"110245","CR626902.1","72hpf",3
"110246","CR631122.1","21Day",2
"110247","CR631122.1","22Month",2
"110248","CR631122.1","24hpf",1
"110249","CR631122.1","3Month",3
"110250","CR631122.1","72hpf",0
"110251","CR749162.1","21Day",0
"110252","CR749162.1","22Month",12
"110253","CR749162.1","24hpf",0
"110254","CR749162.1","3Month",5
"110255","CR749162.1","72hpf",3
"110256","CR759826.1","21Day",6
"110257","CR759826.1","22Month",7
"110258","CR759826.1","24hpf",2
"110259","CR759826.1","3Month",23
"110260","CR759826.1","72hpf",2
"110261","CR759830.1","21Day",4
"110262","CR759830.1","22Month",0
"110263","CR759830.1","24hpf",2
"110264","CR759830.1","3Month",5
"110265","CR759830.1","72hpf",6
"110266","CR774179.2","21Day",2
"110267","CR774179.2","22Month",4
"110268","CR774179.2","24hpf",4
"110269","CR774179.2","3Month",123
"110270","CR774179.2","72hpf",3
"110271","CR790368.1","21Day",17
"110272","CR790368.1","22Month",1730
"110273","CR790368.1","24hpf",1
"110274","CR790368.1","3Month",114
"110275","CR790368.1","72hpf",28
"110276","CR792422.2","21Day",4
"110277","CR792422.2","22Month",17
"110278","CR792422.2","24hpf",2
"110279","CR792422.2","3Month",26
"110280","CR792422.2","72hpf",12
"110281","CR792424.1","21Day",3
"110282","CR792424.1","22Month",0
"110283","CR792424.1","24hpf",1
"110284","CR792424.1","3Month",3
"110285","CR792424.1","72hpf",7
"110286","CR792438.2","21Day",10
"110287","CR792438.2","22Month",260
"110288","CR792438.2","24hpf",2
"110289","CR792438.2","3Month",337
"110290","CR792438.2","72hpf",7
"110291","CR812470.1","21Day",19
"110292","CR812470.1","22Month",35
"110293","CR812470.1","24hpf",5
"110294","CR812470.1","3Month",2
"110295","CR812470.1","72hpf",19
"110296","CR812472.1","21Day",0
"110297","CR812472.1","22Month",0
"110298","CR812472.1","24hpf",2
"110299","CR812472.1","3Month",0
"110300","CR812472.1","72hpf",3
"110301","CR847530.1","21Day",5
"110302","CR847530.1","22Month",27
"110303","CR847530.1","24hpf",7
"110304","CR847530.1","3Month",82
"110305","CR847530.1","72hpf",7
"110306","CR847898.1","21Day",0
"110307","CR847898.1","22Month",0
"110308","CR847898.1","24hpf",0
"110309","CR847898.1","3Month",0
"110310","CR847898.1","72hpf",1
"110311","CR847971.1","21Day",0
"110312","CR847971.1","22Month",8
"110313","CR847971.1","24hpf",0
"110314","CR847971.1","3Month",28
"110315","CR847971.1","72hpf",0
"110316","CR848661.1","21Day",1
"110317","CR848661.1","22Month",0
"110318","CR848661.1","24hpf",0
"110319","CR848661.1","3Month",0
"110320","CR848661.1","72hpf",0
"110321","CR848665.1","21Day",8
"110322","CR848665.1","22Month",12
"110323","CR848665.1","24hpf",0
"110324","CR848665.1","3Month",86
"110325","CR848665.1","72hpf",5
"110326","CR848667.2","21Day",1
"110327","CR848667.2","22Month",0
"110328","CR848667.2","24hpf",3
"110329","CR848667.2","3Month",0
"110330","CR848667.2","72hpf",2
"110331","CR848784.1","21Day",12
"110332","CR848784.1","22Month",224
"110333","CR848784.1","24hpf",2
"110334","CR848784.1","3Month",376
"110335","CR848784.1","72hpf",7
"110336","CR854829.1","21Day",2
"110337","CR854829.1","22Month",19
"110338","CR854829.1","24hpf",2
"110339","CR854829.1","3Month",13
"110340","CR854829.1","72hpf",2
"110341","CR854927.3","21Day",0
"110342","CR854927.3","22Month",0
"110343","CR854927.3","24hpf",0
"110344","CR854927.3","3Month",0
"110345","CR854927.3","72hpf",0
"110346","CR854964.1","21Day",1
"110347","CR854964.1","22Month",3
"110348","CR854964.1","24hpf",0
"110349","CR854964.1","3Month",0
"110350","CR854964.1","72hpf",1
"110351","CR854981.1","21Day",0
"110352","CR854981.1","22Month",0
"110353","CR854981.1","24hpf",0
"110354","CR854981.1","3Month",0
"110355","CR854981.1","72hpf",0
"110356","CR855300.1","21Day",4
"110357","CR855300.1","22Month",42
"110358","CR855300.1","24hpf",2
"110359","CR855300.1","3Month",53
"110360","CR855300.1","72hpf",7
"110361","CR855306.1","21Day",2
"110362","CR855306.1","22Month",0
"110363","CR855306.1","24hpf",3
"110364","CR855306.1","3Month",23
"110365","CR855306.1","72hpf",6
"110366","CR855328.1","21Day",0
"110367","CR855328.1","22Month",0
"110368","CR855328.1","24hpf",1
"110369","CR855328.1","3Month",2
"110370","CR855328.1","72hpf",0
"110371","CR925709.3","21Day",6
"110372","CR925709.3","22Month",0
"110373","CR925709.3","24hpf",1
"110374","CR925709.3","3Month",266
"110375","CR925709.3","72hpf",1
"110376","CR925768.1","21Day",3
"110377","CR925768.1","22Month",0
"110378","CR925768.1","24hpf",3
"110379","CR925768.1","3Month",0
"110380","CR925768.1","72hpf",4
"110381","CR925773.1","21Day",2
"110382","CR925773.1","22Month",0
"110383","CR925773.1","24hpf",1
"110384","CR925773.1","3Month",0
"110385","CR925773.1","72hpf",3
"110386","CR925797.1","21Day",1
"110387","CR925797.1","22Month",2
"110388","CR925797.1","24hpf",2
"110389","CR925797.1","3Month",13
"110390","CR925797.1","72hpf",3
"110391","CR926463.1","21Day",1
"110392","CR926463.1","22Month",5
"110393","CR926463.1","24hpf",0
"110394","CR926463.1","3Month",3
"110395","CR926463.1","72hpf",5
"110396","CR931782.2","21Day",2
"110397","CR931782.2","22Month",4
"110398","CR931782.2","24hpf",2
"110399","CR931782.2","3Month",11
"110400","CR931782.2","72hpf",7
"110401","CR931802.1","21Day",4
"110402","CR931802.1","22Month",118
"110403","CR931802.1","24hpf",0
"110404","CR931802.1","3Month",790
"110405","CR931802.1","72hpf",1
"110406","CR931802.3","21Day",0
"110407","CR931802.3","22Month",0
"110408","CR931802.3","24hpf",0
"110409","CR931802.3","3Month",0
"110410","CR931802.3","72hpf",1
"110411","CR931980.1","21Day",6
"110412","CR931980.1","22Month",78
"110413","CR931980.1","24hpf",1
"110414","CR931980.1","3Month",298
"110415","CR931980.1","72hpf",4
"110416","CR933791.1","21Day",1
"110417","CR933791.1","22Month",36
"110418","CR933791.1","24hpf",0
"110419","CR933791.1","3Month",35
"110420","CR933791.1","72hpf",1
"110421","CR933791.2","21Day",86
"110422","CR933791.2","22Month",1529
"110423","CR933791.2","24hpf",2
"110424","CR933791.2","3Month",2063
"110425","CR933791.2","72hpf",4
"110426","CR933812.1","21Day",6
"110427","CR933812.1","22Month",5
"110428","CR933812.1","24hpf",2
"110429","CR933812.1","3Month",2
"110430","CR933812.1","72hpf",5
"110431","CT009596.1","21Day",2
"110432","CT009596.1","22Month",16
"110433","CT009596.1","24hpf",1
"110434","CT009596.1","3Month",3
"110435","CT009596.1","72hpf",5
"110436","CT009745.1","21Day",3
"110437","CT009745.1","22Month",0
"110438","CT009745.1","24hpf",2
"110439","CT009745.1","3Month",5
"110440","CT009745.1","72hpf",6
"110441","CT027674.1","21Day",34
"110442","CT027674.1","22Month",127
"110443","CT027674.1","24hpf",1
"110444","CT027674.1","3Month",178
"110445","CT027674.1","72hpf",36
"110446","CT573408.1","21Day",0
"110447","CT573408.1","22Month",0
"110448","CT573408.1","24hpf",0
"110449","CT573408.1","3Month",0
"110450","CT573408.1","72hpf",0
"110451","CT573484.1","21Day",8
"110452","CT573484.1","22Month",5
"110453","CT573484.1","24hpf",8
"110454","CT573484.1","3Month",105
"110455","CT573484.1","72hpf",18
"110456","CT583625.5","21Day",50
"110457","CT583625.5","22Month",2031
"110458","CT583625.5","24hpf",2
"110459","CT583625.5","3Month",2633
"110460","CT583625.5","72hpf",1
"110461","CT583642.2","21Day",2
"110462","CT583642.2","22Month",0
"110463","CT583642.2","24hpf",2
"110464","CT583642.2","3Month",8
"110465","CT583642.2","72hpf",2
"110466","CT737125.2","21Day",3
"110467","CT737125.2","22Month",1
"110468","CT737125.2","24hpf",0
"110469","CT737125.2","3Month",110
"110470","CT737125.2","72hpf",15
"110471","CT737162.1","21Day",6
"110472","CT737162.1","22Month",32
"110473","CT737162.1","24hpf",13
"110474","CT737162.1","3Month",129
"110475","CT737162.1","72hpf",12
"110476","CT737210.1","21Day",6
"110477","CT737210.1","22Month",4
"110478","CT737210.1","24hpf",2
"110479","CT737210.1","3Month",2
"110480","CT737210.1","72hpf",38
"110481","CT867948.1","21Day",3
"110482","CT867948.1","22Month",0
"110483","CT867948.1","24hpf",2
"110484","CT867948.1","3Month",0
"110485","CT867948.1","72hpf",8
"110486","CT954240.1","21Day",0
"110487","CT954240.1","22Month",0
"110488","CT954240.1","24hpf",0
"110489","CT954240.1","3Month",5
"110490","CT954240.1","72hpf",3
"110491","CU019562.3","21Day",6
"110492","CU019562.3","22Month",3
"110493","CU019562.3","24hpf",1
"110494","CU019562.3","3Month",0
"110495","CU019562.3","72hpf",5
"110496","CU041319.1","21Day",9
"110497","CU041319.1","22Month",10
"110498","CU041319.1","24hpf",2
"110499","CU041319.1","3Month",48
"110500","CU041319.1","72hpf",7
"110501","CU062454.1","21Day",0
"110502","CU062454.1","22Month",12
"110503","CU062454.1","24hpf",6
"110504","CU062454.1","3Month",387
"110505","CU062454.1","72hpf",7
"110506","CU076099.2","21Day",8
"110507","CU076099.2","22Month",0
"110508","CU076099.2","24hpf",4
"110509","CU076099.2","3Month",0
"110510","CU076099.2","72hpf",14
"110511","CU104782.1","21Day",3
"110512","CU104782.1","22Month",143
"110513","CU104782.1","24hpf",3
"110514","CU104782.1","3Month",692
"110515","CU104782.1","72hpf",7
"110516","CU207217.1","21Day",5
"110517","CU207217.1","22Month",80
"110518","CU207217.1","24hpf",4
"110519","CU207217.1","3Month",521
"110520","CU207217.1","72hpf",9
"110521","CU302200.1","21Day",6
"110522","CU302200.1","22Month",3
"110523","CU302200.1","24hpf",3
"110524","CU302200.1","3Month",102
"110525","CU302200.1","72hpf",5
"110526","CU302323.1","21Day",21
"110527","CU302323.1","22Month",143
"110528","CU302323.1","24hpf",4
"110529","CU302323.1","3Month",247
"110530","CU302323.1","72hpf",19
"110531","CU302413.1","21Day",0
"110532","CU302413.1","22Month",0
"110533","CU302413.1","24hpf",0
"110534","CU302413.1","3Month",0
"110535","CU302413.1","72hpf",1
"110536","CU462914.1","21Day",4
"110537","CU462914.1","22Month",49
"110538","CU462914.1","24hpf",5
"110539","CU462914.1","3Month",15
"110540","CU462914.1","72hpf",8
"110541","CU467879.1","21Day",2
"110542","CU467879.1","22Month",3
"110543","CU467879.1","24hpf",0
"110544","CU467879.1","3Month",13
"110545","CU467879.1","72hpf",0
"110546","CU467963.1","21Day",2
"110547","CU467963.1","22Month",6
"110548","CU467963.1","24hpf",0
"110549","CU467963.1","3Month",10
"110550","CU467963.1","72hpf",1
"110551","CU469568.3","21Day",12
"110552","CU469568.3","22Month",60
"110553","CU469568.3","24hpf",3
"110554","CU469568.3","3Month",114
"110555","CU469568.3","72hpf",4
"110556","CU499330.1","21Day",27
"110557","CU499330.1","22Month",66
"110558","CU499330.1","24hpf",0
"110559","CU499330.1","3Month",178
"110560","CU499330.1","72hpf",7
"110561","CU571064.1","21Day",17
"110562","CU571064.1","22Month",20
"110563","CU571064.1","24hpf",4
"110564","CU571064.1","3Month",5
"110565","CU571064.1","72hpf",13
"110566","CU571169.1","21Day",6
"110567","CU571169.1","22Month",29
"110568","CU571169.1","24hpf",4
"110569","CU571169.1","3Month",14
"110570","CU571169.1","72hpf",20
"110571","CU571328.1","21Day",17
"110572","CU571328.1","22Month",12
"110573","CU571328.1","24hpf",7
"110574","CU571328.1","3Month",56
"110575","CU571328.1","72hpf",5
"110576","CU571398.1","21Day",8
"110577","CU571398.1","22Month",13
"110578","CU571398.1","24hpf",0
"110579","CU571398.1","3Month",49
"110580","CU571398.1","72hpf",19
"110581","CU638693.2","21Day",2
"110582","CU638693.2","22Month",0
"110583","CU638693.2","24hpf",2
"110584","CU638693.2","3Month",17
"110585","CU638693.2","72hpf",5
"110586","CU639412.1","21Day",0
"110587","CU639412.1","22Month",0
"110588","CU639412.1","24hpf",0
"110589","CU639412.1","3Month",0
"110590","CU639412.1","72hpf",1
"110591","CU655844.1","21Day",2
"110592","CU655844.1","22Month",0
"110593","CU655844.1","24hpf",4
"110594","CU655844.1","3Month",6
"110595","CU655844.1","72hpf",10
"110596","CU658285.1","21Day",4
"110597","CU658285.1","22Month",0
"110598","CU658285.1","24hpf",7
"110599","CU658285.1","3Month",3
"110600","CU658285.1","72hpf",10
"110601","CU660013.4","21Day",31
"110602","CU660013.4","22Month",319
"110603","CU660013.4","24hpf",6
"110604","CU660013.4","3Month",361
"110605","CU660013.4","72hpf",15
"110606","CU672266.1","21Day",4
"110607","CU672266.1","22Month",37
"110608","CU672266.1","24hpf",2
"110609","CU672266.1","3Month",25
"110610","CU672266.1","72hpf",9
"110611","CU681845.1","21Day",0
"110612","CU681845.1","22Month",3
"110613","CU681845.1","24hpf",0
"110614","CU681845.1","3Month",12
"110615","CU681845.1","72hpf",2
"110616","CU682777.1","21Day",2
"110617","CU682777.1","22Month",12
"110618","CU682777.1","24hpf",0
"110619","CU682777.1","3Month",7
"110620","CU682777.1","72hpf",2
"110621","CU683879.1","21Day",6
"110622","CU683879.1","22Month",0
"110623","CU683879.1","24hpf",9
"110624","CU683879.1","3Month",0
"110625","CU683879.1","72hpf",7
"110626","CU693368.1","21Day",7
"110627","CU693368.1","22Month",20
"110628","CU693368.1","24hpf",5
"110629","CU693368.1","3Month",168
"110630","CU693368.1","72hpf",15
"110631","CU693494.3","21Day",78
"110632","CU693494.3","22Month",44
"110633","CU693494.3","24hpf",0
"110634","CU693494.3","3Month",37
"110635","CU693494.3","72hpf",5
"110636","CU694197.2","21Day",20
"110637","CU694197.2","22Month",44
"110638","CU694197.2","24hpf",8
"110639","CU694197.2","3Month",79
"110640","CU694197.2","72hpf",39
"110641","CU694372.1","21Day",2
"110642","CU694372.1","22Month",0
"110643","CU694372.1","24hpf",0
"110644","CU694372.1","3Month",0
"110645","CU694372.1","72hpf",4
"110646","CU694952.1","21Day",3
"110647","CU694952.1","22Month",71
"110648","CU694952.1","24hpf",10
"110649","CU694952.1","3Month",407
"110650","CU694952.1","72hpf",4
"110651","CU855878.1","21Day",14
"110652","CU855878.1","22Month",7
"110653","CU855878.1","24hpf",5
"110654","CU855878.1","3Month",15
"110655","CU855878.1","72hpf",12
"110656","CU861469.1","21Day",7
"110657","CU861469.1","22Month",0
"110658","CU861469.1","24hpf",0
"110659","CU861469.1","3Month",0
"110660","CU861469.1","72hpf",8
"110661","CU861667.1","21Day",0
"110662","CU861667.1","22Month",0
"110663","CU861667.1","24hpf",0
"110664","CU861667.1","3Month",0
"110665","CU861667.1","72hpf",4
"110666","CU896691.1","21Day",13
"110667","CU896691.1","22Month",65
"110668","CU896691.1","24hpf",3
"110669","CU896691.1","3Month",26
"110670","CU896691.1","72hpf",3
"110671","CU914602.1","21Day",10
"110672","CU914602.1","22Month",6
"110673","CU914602.1","24hpf",2
"110674","CU914602.1","3Month",53
"110675","CU914602.1","72hpf",5
"110676","CU914760.1","21Day",3
"110677","CU914760.1","22Month",9
"110678","CU914760.1","24hpf",0
"110679","CU914760.1","3Month",4
"110680","CU914760.1","72hpf",1
"110681","CU914780.1","21Day",9
"110682","CU914780.1","22Month",0
"110683","CU914780.1","24hpf",1
"110684","CU914780.1","3Month",0
"110685","CU914780.1","72hpf",10
"110686","CU915818.1","21Day",1
"110687","CU915818.1","22Month",0
"110688","CU915818.1","24hpf",0
"110689","CU915818.1","3Month",0
"110690","CU915818.1","72hpf",0
"110691","CU928046.1","21Day",36
"110692","CU928046.1","22Month",226
"110693","CU928046.1","24hpf",8
"110694","CU928046.1","3Month",387
"110695","CU928046.1","72hpf",15
"110696","CU928083.1","21Day",8
"110697","CU928083.1","22Month",29
"110698","CU928083.1","24hpf",0
"110699","CU928083.1","3Month",7
"110700","CU928083.1","72hpf",4
"110701","CU929206.1","21Day",0
"110702","CU929206.1","22Month",0
"110703","CU929206.1","24hpf",0
"110704","CU929206.1","3Month",0
"110705","CU929206.1","72hpf",0
"110706","CU929359.1","21Day",1
"110707","CU929359.1","22Month",0
"110708","CU929359.1","24hpf",0
"110709","CU929359.1","3Month",6
"110710","CU929359.1","72hpf",5
"110711","CU929402.2","21Day",10
"110712","CU929402.2","22Month",0
"110713","CU929402.2","24hpf",1
"110714","CU929402.2","3Month",2
"110715","CU929402.2","72hpf",8
"110716","CU929403.1","21Day",30
"110717","CU929403.1","22Month",19
"110718","CU929403.1","24hpf",0
"110719","CU929403.1","3Month",7
"110720","CU929403.1","72hpf",16
"110721","DCDC2C","21Day",22
"110722","DCDC2C","22Month",28
"110723","DCDC2C","24hpf",0
"110724","DCDC2C","3Month",21
"110725","DCDC2C","72hpf",17
"110726","ELOB","21Day",6
"110727","ELOB","22Month",18
"110728","ELOB","24hpf",4
"110729","ELOB","3Month",0
"110730","ELOB","72hpf",6
"110731","FO704758.1","21Day",45
"110732","FO704758.1","22Month",79
"110733","FO704758.1","24hpf",1
"110734","FO704758.1","3Month",753
"110735","FO704758.1","72hpf",8
"110736","FO704836.1","21Day",0
"110737","FO704836.1","22Month",1
"110738","FO704836.1","24hpf",11
"110739","FO704836.1","3Month",5
"110740","FO704836.1","72hpf",9
"110741","FO744833.1","21Day",9
"110742","FO744833.1","22Month",9
"110743","FO744833.1","24hpf",0
"110744","FO744833.1","3Month",28
"110745","FO744833.1","72hpf",1
"110746","FO904898.1","21Day",1
"110747","FO904898.1","22Month",3
"110748","FO904898.1","24hpf",1
"110749","FO904898.1","3Month",37
"110750","FO904898.1","72hpf",1
"110751","FO907124.1","21Day",17
"110752","FO907124.1","22Month",3
"110753","FO907124.1","24hpf",5
"110754","FO907124.1","3Month",13
"110755","FO907124.1","72hpf",27
"110756","FP015862.3","21Day",13
"110757","FP015862.3","22Month",117
"110758","FP015862.3","24hpf",0
"110759","FP015862.3","3Month",20
"110760","FP015862.3","72hpf",31
"110761","FP016205.1","21Day",9
"110762","FP016205.1","22Month",14
"110763","FP016205.1","24hpf",0
"110764","FP016205.1","3Month",975
"110765","FP016205.1","72hpf",62
"110766","FP102073.1","21Day",0
"110767","FP102073.1","22Month",9
"110768","FP102073.1","24hpf",5
"110769","FP102073.1","3Month",241
"110770","FP102073.1","72hpf",5
"110771","FP102167.1","21Day",16
"110772","FP102167.1","22Month",0
"110773","FP102167.1","24hpf",7
"110774","FP102167.1","3Month",20
"110775","FP102167.1","72hpf",26
"110776","FP102786.1","21Day",3
"110777","FP102786.1","22Month",32
"110778","FP102786.1","24hpf",0
"110779","FP102786.1","3Month",39
"110780","FP102786.1","72hpf",0
"110781","FP102921.1","21Day",3
"110782","FP102921.1","22Month",2
"110783","FP102921.1","24hpf",2
"110784","FP102921.1","3Month",117
"110785","FP102921.1","72hpf",8
"110786","FP102969.1","21Day",2
"110787","FP102969.1","22Month",0
"110788","FP102969.1","24hpf",0
"110789","FP102969.1","3Month",0
"110790","FP102969.1","72hpf",2
"110791","FP103106.1","21Day",6
"110792","FP103106.1","22Month",1
"110793","FP103106.1","24hpf",2
"110794","FP103106.1","3Month",0
"110795","FP103106.1","72hpf",3
"110796","FP236454.1","21Day",1
"110797","FP236454.1","22Month",68
"110798","FP236454.1","24hpf",0
"110799","FP236454.1","3Month",76
"110800","FP236454.1","72hpf",0
"110801","FP236454.2","21Day",5
"110802","FP236454.2","22Month",81
"110803","FP236454.2","24hpf",4
"110804","FP236454.2","3Month",231
"110805","FP236454.2","72hpf",6
"110806","FQ311920.1","21Day",0
"110807","FQ311920.1","22Month",0
"110808","FQ311920.1","24hpf",0
"110809","FQ311920.1","3Month",0
"110810","FQ311920.1","72hpf",0
"110811","FQ311924.1","21Day",4
"110812","FQ311924.1","22Month",0
"110813","FQ311924.1","24hpf",0
"110814","FQ311924.1","3Month",7
"110815","FQ311924.1","72hpf",1
"110816","FQ377903.2","21Day",2
"110817","FQ377903.2","22Month",0
"110818","FQ377903.2","24hpf",0
"110819","FQ377903.2","3Month",2
"110820","FQ377903.2","72hpf",7
"110821","GJD4","21Day",0
"110822","GJD4","22Month",3
"110823","GJD4","24hpf",2
"110824","GJD4","3Month",3
"110825","GJD4","72hpf",2
"110826","LO017722.1","21Day",9
"110827","LO017722.1","22Month",0
"110828","LO017722.1","24hpf",4
"110829","LO017722.1","3Month",5
"110830","LO017722.1","72hpf",16
"110831","LO017802.1","21Day",13
"110832","LO017802.1","22Month",0
"110833","LO017802.1","24hpf",2
"110834","LO017802.1","3Month",3
"110835","LO017802.1","72hpf",13
"110836","LO018011.1","21Day",7
"110837","LO018011.1","22Month",26
"110838","LO018011.1","24hpf",0
"110839","LO018011.1","3Month",13
"110840","LO018011.1","72hpf",4
"110841","LO018181.1","21Day",13
"110842","LO018181.1","22Month",109
"110843","LO018181.1","24hpf",3
"110844","LO018181.1","3Month",55
"110845","LO018181.1","72hpf",13
"110846","LO018260.3","21Day",2
"110847","LO018260.3","22Month",0
"110848","LO018260.3","24hpf",2
